Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
500 Grant Cafe / Aramark,500,Grant  Street,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor,
51 Wings ,4022,Saw Mill Run Blvd,Pittsburgh,PA,15227,Brentwood,Restaurant without Liquor,
525 William Penn / Aramark Cafeteria,525,Wm Penn  Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor,
52nd Street Market,601,52nd  Street,Pittsburgh,PA,15201,Pittsburgh-110,Retail/Convenience Store,
5801 Video Lounge and Cafe,5801,Ellsworth  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant with Liquor,
6&#39;s Grill,320,Waddell Ave,Clairton,PA,15025,Clairton,Restaurant with Liquor,
61 B Cafe ,1110,Braddock Avenue,Pittsburgh,PA,15218,Swissvale,Restaurant without Liquor,
61 C Cafe,1839,Murray  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant without Liquor,
64 Bridge St,64,Bridge  Street,Pittsburgh,PA,15223,Etna,Restaurant with Liquor,
7 Eleven #106 36118A,1,Bigelow  Square,Pittsburgh,PA,15219,Pittsburgh-102,Chain Retail/Convenience Store,
7 Eleven #167,643,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store,
7 Eleven #2701-36160J,420,Smihfield  Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Retail/Convenience Store,
7 Eleven #35968H,525,Perry Highway,Pittsburgh,PA,15229,West View,Chain Retail/Convenience Store,
7 Eleven #36121A,423,James  Street,Turtle Creek,PA,15145,Turtle Creek,Chain Retail/Convenience Store,
7 Eleven #36122A,22,Grant Avenue,Pittsburgh,PA,15223,Etna,Chain Retail/Convenience Store,
7 Eleven #36123,7500,Grand  Avenue,Pittsburgh,PA,15225,Neville,Chain Retail/Convenience Store,
7 Eleven #36126A,987,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Retail/Convenience Store,
7 Eleven #36127A,137,Clever Road,Mc Kees Rocks,PA,15136,Kennedy,Chain Retail/Convenience Store,
7 Eleven #36128,6403,Brownsville Rd,Pittsburgh,PA,15236,South Park,Chain Retail/Convenience Store,
7 Eleven #36134,3955,Forbes  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Retail/Convenience Store,
7 Eleven #36135,850,Boyce Road,Bridgeville,PA,15017,South Fayette,Chain Retail/Convenience Store,
7 Eleven #36138H,740,W Ingomar Rd,Pittsburgh,PA,15237,McCandless,Chain Retail/Convenience Store,
7 Eleven #36139A,285,Mt Lebanon  Boulevard,Pittsburgh,PA,15234,Castle Shannon,Chain Retail/Convenience Store,
7 Eleven #36140A,1005,Western Ave,Pittsburgh,PA,15233,Pittsburgh-121,Chain Retail/Convenience Store,
7 Eleven #36143A,601,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store,
7 Eleven #36144A,95,Warrendale Bayne Rd,Warrendale,PA,15086,Marshall,Chain Retail/Convenience Store,
7 Eleven #36146A,429,Wood Street,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store,
7 Eleven #36152A,608,5th Street,West Elizabeth,PA,15088,West Elizabeth,Chain Retail/Convenience Store,
7 Eleven #36154H,1101,Brookline  Boulevard,Pittsburgh,PA,15226,Pittsburgh-119,Chain Retail/Convenience Store,
7 Eleven #36155,818,Duquesne Boulevard,Duquesne,PA,15110,Duquesne,Chain Retail/Convenience Store,
7 Eleven #36158A,321,Camp Hollow Rd,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only,
7 Eleven #36159A,1350,Wildwood Rd,Gibsonia,PA,15044,McCandless,Chain Retail/Convenience Store,
7 Eleven #36186,3915,Wm Flynn Highway,Aliquippa,PA,15001,Hampton,Chain Retail/Convenience Store,
7 Eleven #36193A,999,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Retail/Convenience Store,
7 Eleven Store #36131-A,10,Prospect Avenue,Pittsburgh,PA,15205,Ingram,Chain Retail/Convenience Store,
7-Eleven #36124,1400,Radford  Road,Pittsburgh,PA,15227,Whitehall,Chain Retail/Convenience Store,
703 Community Social Club,7232,Hamilton  Avenue,Pittsburgh,PA,15208,Pittsburgh-113,Social Club-Bar Only,
77 Cafe&#39; / Guckenheimer Services,77,Hot Metal  St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant without Liquor,
88 Tobacco,5815,Library Road,Bethel Park,PA,15102,Bethel Park,Packaged Food Only,
922 Cafeteria,626,Cochran Mill Rd,Pittsburgh,PA,15236,South Park,Restaurant without Liquor,
941 Saloon,941,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
99 Bottles,1001,Washington Avenue,Carnegie,PA,15106,Scott,Restaurant with Liquor,
9th &amp; Penn News - Numbers,136,9th Street,Pittsburgh,PA,15222,Pittsburgh-102,Packaged Food Only,
A &amp; B Pizza,2418,Freeport Road,Natrona Heights,PA,15065,Harrison,Restaurant without Liquor,
A &amp; D Kona Ice #2 (ZDX 7909),4054,Turnwood  Lane,Coraopolis,PA,15108,Moon,Mobile,
A &amp; E Deli Food Mart,105,Brownsville Rd,Pittsburgh,PA,15210,Mt Oliver,Retail/Convenience Store,
A &amp; K Convenience Store ,3459,Ward  Street,Pittsburgh,PA,15213,Pittsburgh-104,Retail/Convenience Store,
A &amp; M Market,5224,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-108,Packaged Food Only,
A &amp; M Market,320,Coal St,Pittsburgh,PA,15221,Edgewood,Retail/Convenience Store,
A Child&#39;s World Day Care Center,300,Rankin Boulevard,Braddock,PA,15104,Rankin,Child Food Service,
A E O&#39;Block Jr High School,440,Presque Isle  Drive,Pittsburgh,PA,15239,Plum,Full Service Kitchen,
A Family Flavor,514,Main Street,East Pittsburgh,PA,15112,East Pittsburgh,Restaurant without Liquor,
A Grand Affair Catering,902,Brackenridge Avenue,Brackenridge,PA,15014,Brackenridge,Restaurant without Liquor,
A J Bambino,910,Beaver Grade Road,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
A Pizza Badamo,656,Washington  Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor,
A S Wee Care,3004,Stayton St,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service,
A S Wee Care III,2809,Brighton Rd,Pittsburgh,PA,15212,Pittsburgh-127,Child Food Service,
A Sweet Boutique,3511,Butler Street,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant without Liquor,
A Sweet Morsel,3612,Wm Flynn Highway,Allison Park,PA,15101,Shaler,Bakery,
A Taste Of India,4320,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant without Liquor,
A W Beattie Career Center,9600,Babcock Blvd,Allison Park,PA,15101,McCandless,Full Service Kitchen,
A Ward&#39;s Cheesecakes,34,Main  Street,Carnegie,PA,15106,Carnegie,Food Processor,
A to Z Convenience Stores,1617,West St,Homestead,PA,15120,Homestead,Packaged Food Only,
A&amp;D Kona Ice (YVP 8361),4054,Turnwood Ln,Coraopolis,PA,15108,Moon,Mobile,
A&#39;s 2&#39;s / Ace&#39;s &amp; Deuce&#39;s Lounge,1400,5th  Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
A519 Chocolate ,2,Sedgwick  Street,Pittsburgh,PA,15209,Millvale,Food Processor,
ABC&#39;s for Children ,1630 ,Greentree Road,Pittsburgh,PA,15220,Scott,Child Food Service,
AD&#39;S Pittsburgh Cafe,226,Meyran  Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant with Liquor,
ADDA Coffee &amp; Tea House ,200,Highland Avenue,Pittsburgh,PA,15206,Pittsburgh-107,Restaurant without Liquor,
AFC Sushi @ Children&#39;s Hospital,4401,Penn Avenue,Pittsburgh,PA,15201,Pittsburgh-109,Restaurant without Liquor,
AGH Center For Children / Bright Horizons,621,E North Ave,Pittsburgh,PA,15212,Pittsburgh-123,Satellite Kitchen,
AGH Suburban Campus Gift Shop,100,S Jackson St,Pittsburgh,PA,15202,Bellevue,Hospital Gov University (limited),
AGH Suburban Campus Kitchen,100,S Jackson St,Pittsburgh,PA,15202,Bellevue,Hospital/Other Institution,
AHN Health &amp; Wellness Pavilion ,1000,Higbee Drive,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor,
AIU Baldwin Headstart,41,Macek Dr,Pittsburgh,PA,15227,Baldwin Boro,Child Food Service,
AIU Carnegie Headstart,630,Washington Ave,Carnegie,PA,15106,Carnegie,Child Food Service,
AIU Clairton II Headstart,734,Miller Ave,Clairton,PA,15025,Clairton,Child Food Service,
AIU Community School East,519,Penn Ave / 3rd Fl,Turtle Creek,PA,15145,Turtle Creek,Satellite Kitchen,
AIU Community School West,19,May Ave     #200,Mc Kees Rocks,PA,15136,McKees Rocks,Satellite Kitchen,
AIU Crawford Village Headstart,2901,Brownlee Ave,Mc Keesport,PA,15132,McKeesport,Child Food Service,
AIU Duquesne Place Head Start,901,Duquesne Place,Duquesne,PA,15110,Duquesne,Child Food Service,
AIU Early Headstart - Carnegie,1100,Washington Avenue,Carnegie,PA,15106,Scott,Full Service Kitchen,
AIU East Allegheny Pre-K Counts ,3203,Maryland  Avenue,North Versailles,PA,15137,North Versailles,Child Food Service,
AIU Elizabeth Headstart,207,3rd St,Elizabeth,PA,15037,Elizabeth Borough,Child Food Service,
AIU Foster Elementary Building,800,Russellwood Avenue,Mc Kees Rocks,PA,15136,Stowe,Child Food Service,
AIU Fox Chapel / Sharpsburg Headstart,200,Linden Ave / 2nd Fl,Pittsburgh,PA,15215,Sharpsburg,Child Food Service,
AIU Garden City Headstart,500,Laurel Dr,Monroeville,PA,15146,Monroeville,Child Food Service,
AIU Gateway Pitcairn Headstart,428,Highland  Avenue,Pitcairn,PA,15140,Pitcairn,Child Food Service,
AIU Green Meadows Headstart,361,Knoedler Road,Pittsburgh,PA,15236,Baldwin Boro,Child Food Service,
AIU Groveton Headstart,511,Groveton Drive,Coraopolis,PA,15108,Robinson,Child Food Service,
AIU HeadStart Wilkinsburg,807,Wallace  Avenue,Pittsburgh,PA,15221,Wilkinsburg,Child Food Service,
AIU Headstart / Church of Brethren,481,Center Rd,Monroeville,PA,15146,Monroeville,Child Food Service,
AIU Headstart Pleasant Ridge,251,Jefferson Dr,Mc Kees Rocks,PA,15136,Stowe,Child Food Service,
AIU Highlands I Headstart,415,4th Avenue,Tarentum,PA,15084,Tarentum,Child Food Service,
AIU Lincoln Park Family Center,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Community Service Facility/Exempt,
AIU McKeesport Central Headstart,1510,Versailles Ave / 1st Fl,Mc Keesport,PA,15132,McKeesport,Child Food Service,
AIU Natrona Heights 3 Headstart,240,Park Avenue,Natrona Heights,PA,15065,Harrison,Child Food Service,
AIU Penn Hills Lincoln Park Headstart I,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Child Food Service,
AIU Penn Hills Lincoln Park Headstart II,7300,Ridgeview Ave,Pittsburgh,PA,15235,Penn Hills,Child Food Service,
AIU Steel Valley 8th Ave Headstart,304,E 8th Ave,Homestead,PA,15120,Homestead,Child Food Service,
AIU Steel Valley Headstart,1705,Maple Ave,Homestead,PA,15120,Homestead,Child Food Service,
AIU Steel Valley Pre-K Counts,1705,Maple Ave,Homestead,PA,15120,Homestead,Child Food Service,
AIU West Mifflin Monview Head Start,1,G Midway Dr,West Mifflin,PA,15122,West Mifflin,Child Food Service,
AIU Wilmerding Headstart,200,Westinghouse Ave,Wilmerding,PA,15148,Wilmerding,Child Food Service,
AIU Woodland Hills / Brinton Head Start,1200,Wolfe  Avenue,Braddock,PA,15104,North Braddock,Child Food Service,
AIU Woodland Hills / Hawkins Village Head Start,500,Kenmawr (Bldg #34) Drive,Braddock,PA,15104,Rankin,Child Food Service,
AIU Woodland Hills / Rankin Head Start,230,3rd  Street,Braddock,PA,15104,Rankin,Child Food Service,
AJ&#39;s Burger &amp; Peruvian Rotsserie Chicken,422,Semple Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor,
AJ&#39;s Deli,2945,Park  Road,Bethel Park,PA,15102,Bethel Park,Restaurant without Liquor,
AMBU Cafe,700,Cherrington Parkway,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
AMC Theaters Loews Waterfront 22,300,Waterfront  Drive,Homestead,PA,15120,West Homestead,Chain Restaurant with Liquor,
AMF Bowling City of Mt Lebanon Snack Bar #211,1601,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant without Liquor,
AMF Noble Manor Lanes,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor,
AMF Noble Manor Lanes Snack Shop,2440,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant with Liquor,
AVI Food Systems Pittsburgh,2700,Neville Rd,Pittsburgh,PA,15225,Neville,Refrigerated Warehouse,
AW Beattie Career Center Kiddie Tech,9600,Babcock Blvd,Allison Park,PA,15101,McCandless,Child Food Service,
AW Food Express / Sunoco,1001,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Chain Retail/Convenience Store,
Aabco Swansons Notary Etc,9915,Frankstown Road,Pittsburgh,PA,15235,Penn Hills,Restaurant without Liquor,
Aala Kabbab &amp; Curry,4401,Old William Penn  Highway,Monroeville,PA,15146,Monroeville,Restaurant without Liquor,
Abby&#39;s ,2408,Reed Street,Pittsburgh,PA,15219,Pittsburgh-105,Retail/Convenience Store,
Abe&#39;s Market,1860,Centre  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,Retail/Convenience Store,
Above &amp; Beyond Child Care Center,5300,Perry Highway,Pittsburgh,PA,15229,Ross,Child Food Service,
Above &amp; Beyond Childcare Center,2165,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Child Food Service,
Abraham Lincoln School Cafeteria,1524,Hamilton Rd,Pittsburgh,PA,15234,Bethel Park,Full Service Kitchen,
Abundant Joy Fellowship,101, Allegheny St,Tarentum,PA,15084,Tarentum,Adult Food Service,
Acacia,2108,E Carson Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Accuserv Pharmacy,5020,Centre Avenue,Pittsburgh,PA,15213,Pittsburgh-107,Chain Packaged Food Only,
Ace Fix - It Hardware Cheswick,1500,Pittsburgh  Street,Cheswick,PA,15024,Cheswick,Retail/Convenience Store,
Ace Tavern,716,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,Restaurant with Liquor,
Ace&#39;s Breakaway &amp; Play,417,Smithfield St,Pittsburgh,PA,15222,Pittsburgh-101,Packaged Food Only,
Achieva Vocational Supports,214,N Trenton Ave,Pittsburgh,PA,15221,Wilkinsburg,Community Service Facility/Exempt,
