Name,St.No.,Street Name,City,State,Zip,Municipality,Category,
Don&#39;s Pizzeria,7936,Steubenville Pike,Oakdale,PA,15071,North Fayette,Restaurant without Liquor,
Don&#39;t Worry Childcare Center,530,Locust St,Mc Keesport,PA,15132,McKeesport,Child Food Service,
Donaldson Elementary Cafeteria,600,Donaldson Road,Oakdale,PA,15071,North Fayette,Full Service Kitchen,
Donatelli&#39;s Italian Food Center,4711,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Supermarket,
Donato&#39;s Fox Chapel,46,Fox Chapel Road,Pittsburgh,PA,15238,O&#39;Hara,Restaurant with Liquor,
Donnie&#39;s Honeydew,553,Brushton Ave,Pittsburgh,PA,15208,Pittsburgh-113,Restaurant with Liquor,
Donny&#39;s Place,1226,Herron Ave,Pittsburgh,PA,15219,Pittsburgh-106,Restaurant with Liquor,
Donte&#39;s Pizza,6409,Brownsville Road,Pittsburgh,PA,15236,South Park,Restaurant without Liquor,
Donut Connection,7315,Saltsburg Rd,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor,
Donut Connection,2328,Freeport Road,Natrona Heights,PA,15065,Harrison,Chain Restaurant without Liquor,
Donut Connection,1709,Eden Park Blvd,Mc Keesport,PA,15132,McKeesport,Chain Restaurant without Liquor,
Donut Connection,2414,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Chain Restaurant without Liquor,
Donut Connection / Kaleidoscoops ,5004,William Flynn Highway,Gibsonia,PA,15044,Hampton,Chain Restaurant without Liquor,
Doodle Bugs Children Center,8900,Duncan Avenue,Pittsburgh,PA,15237,McCandless,Child Food Service,
Dor-Stop Restaurant,1430,Potomac Avenue,Pittsburgh,PA,15216,Dormont,Restaurant without Liquor,
Dorfner&#39;s Dari Delite,413,Bower Hill Road,Bridgeville,PA,15017,Bridgeville,Restaurant without Liquor,
Dorian&#39;s Catering,5604,Solway Street,Pittsburgh,PA,15217,Pittsburgh-114,Transient Caterer,
Dorido&#39;s Restaurant,6408,Brownsville Rd,Pittsburgh,PA,15236,South Park,Restaurant with Liquor,
Dormition of the Theotokos Greek Orthodox Church ,12,Washington Avenue,Oakmont,PA,15139,Oakmont,Church Kitchen,
Dormont Elementary School Cafeteria,3200,Annapolis  Avenue,Pittsburgh,PA,15216,Dormont,Full Service Kitchen,
Dorothy 6 Blast Furnace Cafe,224,8th  Avenue,Homestead,PA,15120,Homestead,Restaurant with Liquor,
Dorothy&#39;s Candies,1228,Long Run Rd,Mc Keesport,PA,15131,White Oak,Food Processor,
Dorseyville Middle School Cafeteria,3732,Saxonburg Boulevard,Pittsburgh,PA,15238,Indiana,Full Service Kitchen,
Dot&#39;$ Dollar More or Less,300,Mt Lebanon  Boulevard,Pittsburgh,PA,15234,Castle Shannon,Packaged Food Only,
Dot&#39;s Family Restaurant,2634,5th Ave,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
Double Car Wash,2305,O&#39;Neil Boulevard,Mc Keesport,PA,15131,White Oak,Retail/Convenience Store,
Double Down Saloon,1635,Nobles Lane,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor,
Double L Bar,307,Grant Avenue,Pittsburgh,PA,15209,Millvale,Restaurant with Liquor,
Double R Cafe,709,East St,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor,
Double S Saloon,610,Evans Ave,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
Double Wide Grille,2339,Carson  Street,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
DoubleTree By Hilton Pgh Cranberry Restaurant,910,Sheraton  Drive,Mars,PA,16046,Marshall,Chain Restaurant with Liquor,
DoubleTree Hotel / Jacksons Restaurant Rotisserie,8402,University Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant with Liquor,
Doubletree Hotel / Bigelow Grille,1,Bigelow Square,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant with Liquor,
Doubletree Pittsburgh Restaurant Convention Center,101,Mall  Boulevard,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Doubletree by Hilton Market Bistro ,500,Mansfield Avenue,Pittsburgh,PA,15205,Greentree,Chain Restaurant without Liquor,
Doubletree by Hilton Season&#39;s Club,500,Mansfield Avenue,Pittsburgh,PA,15205,Greentree,Chain Restaurant with Liquor,
Doug&#39;s Den,2301,Brownsville Rd,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant with Liquor,
Doughboy&#39;s,508,Island Ave,Mc Kees Rocks,PA,15136,McKees Rocks,Restaurant without Liquor,
Down the Road Lounge,700,Unity Center Rd,Pittsburgh,PA,15239,Plum,Restaurant with Liquor,
Downey&#39;s House,6080,Steubenville Pike,Mc Kees Rocks,PA,15136,Robinson,Restaurant with Liquor,
Dr Cleveland Steward Jr Elementary Cafeteria,5000,Gateway Campus Blvd,Monroeville,PA,15146,Monroeville,Full Service Kitchen,
Dr Winer Wellness Center,2419,Baldwick Road,Pittsburgh,PA,15205,Pittsburgh-128,Packaged Food Only,
Draai Laag Brewing Company,501,East Ohio Street,Pittsburgh,PA,15209,Millvale,Restaurant with Liquor,
Dragon,140,Allegheny River Boulevard,Verona,PA,15147,Verona,Restaurant without Liquor,
Dragon Chinese Cuisine ,3360,Main Street,Homestead,PA,15120,Munhall,Restaurant without Liquor,
Dragon Town ,503,Lincoln  Avenue,Pittsburgh,PA,15202,Bellevue,Restaurant without Liquor,
Dravosburg VFD #1,&nbsp;,6th &amp; Ravine St,Dravosburg,PA,15034,Dravosburg,Firehall with Liquor,
Dream Cream Icecream Parlor,539,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor,
Dreams BBQ,7600,N Braddock Ave,Pittsburgh,PA,15208,Pittsburgh-113,Restaurant without Liquor,
Drew Menas&#39; Restaurant &amp; Lounge,1456,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Restaurant with Liquor,
Drew&#39;s Restaurant,2060,Ardmore  Boulevard,Pittsburgh,PA,15221,Forest Hills,Restaurant without Liquor,
Drewery Early Childhood,715,Broadway Avenue,Mc Kees Rocks,PA,15136,Stowe,Child Food Service,
Drift Hookah Lounge,2236,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Packaged Food Only,
Driftwood Oven Pa XJN4261 Mobile,660,Loretta  Street,Pittsburgh,PA,15217,Pittsburgh-115,Mobile,
Drinks,348,Center Ave,Pittsburgh,PA,15229,West View,Restaurant with Liquor,
Driscoll &amp; Sons Cafe,2101,Douglas Run Road,Sutersville,PA,15083,Elizabeth Township,Restaurant without Liquor,
DuBois B P II,4731,Buttermilk Hollow Rd,West Mifflin,PA,15122,West Mifflin,Chain Retail/Convenience Store,
Dubby&#39;s Diner,705,Brushton Avenue,Pittsburgh,PA,15208,Pittsburgh-113,Restaurant without Liquor,
Dubois BP,1006,E Carson  Street,Pittsburgh,PA,15203,Pittsburgh-117,Chain Retail/Convenience Store,
Duffy&#39;s Beer,294,Curry Hollow,Pittsburgh,PA,15236,Pleasant Hills,Retail/Convenience Store,
Duke&#39;s 8th &amp; Hays Wine Bar,122,8th Avenue,Homestead,PA,15120,Homestead,Chain Restaurant with Liquor,
Duke&#39;s Rib House &amp; Grille,1910,Cochran Road,Pittsburgh,PA,15220,Scott,Restaurant with Liquor,
Duke&#39;s Upper Deck Cafe,122,W 8th  Avenue,Homestead,PA,15120,Homestead,Restaurant with Liquor,
Dulembas Bar,4700,Penn Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
Dunham&#39;s Sports,1701,Lincoln Highway,North Versailles,PA,15137,North Versailles,Chain Packaged Food Only,
Dunham&#39;s Sports,2315,Mountain View Drive,West Mifflin,PA,15122,West Mifflin,Chain Packaged Food Only,
Dunham&#39;s Sports,200,Northtown Square,Gibsonia,PA,15044,Richland,Chain Packaged Food Only,
Dunham&#39;s Sports #9017,3700,Wm Penn Highway,Monroeville,PA,15146,Monroeville,Chain Packaged Food Only,
Dunham&#39;s Sports #9034,1025,Washington Pike,Bridgeville,PA,15017,Collier,Chain Packaged Food Only,
Dunkin Donuts,3200,Saw Mill Run Blvd,Pittsburgh,PA,15227,Brentwood,Chain Restaurant without Liquor,
Dunkin Donuts,411,Smithfield Street,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
Dunkin Donuts,553,Carnot Road,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor,
Dunkin Donuts ,11175,Perry Highway,Wexford,PA,15090,Pine,Chain Restaurant without Liquor,
Dunkin Donuts ,1541,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Chain Restaurant without Liquor,
Dunkin Donuts #346772,28,Market  Square,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
Dunkin Donuts #347328,344,Rodi Rd,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor,
Dunkin Donuts #347605,301,10th Avenue,Tarentum,PA,15084,Tarentum,Chain Restaurant without Liquor,
Dunkin Donuts #348440,4578,Browns Hill Rd,Pittsburgh,PA,15217,Pittsburgh-115,Chain Restaurant without Liquor,
Dunkin Donuts #348700,3907,Forbes Avenue,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor,
Dunkin Donuts #348824,911,Butler Street,Pittsburgh,PA,15223,Shaler,Chain Restaurant without Liquor,
Dunkin Donuts #348825,45,Foster Avenue,Pittsburgh,PA,15205,Crafton,Chain Restaurant without Liquor,
Dunkin Donuts #348993,601,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant without Liquor,
Dunkin Donuts #349047,800,West View Park Drive,Pittsburgh,PA,15229,West View,Chain Restaurant without Liquor,
Dunkin Donuts #349049,360,Curry Hollow Road,Pittsburgh,PA,15236,Baldwin Boro,Chain Restaurant without Liquor,
Dunkin Donuts #349884,2134,Brownsville Road,Pittsburgh,PA,15210,Pittsburgh-129,Chain Restaurant without Liquor,
Dunkin Donuts #350871,2525,5th Avenue,Mc Keesport,PA,15132,McKeesport,Chain Restaurant without Liquor,
Dunkin Donuts #352224,2725,Freeport Rd,Pittsburgh,PA,15238,Harmar,Chain Restaurant without Liquor,
Dunkin Donuts #352225,1031,Paxton  Drive,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor,
Dunkin Donuts #353396,1098,Washington Pike,Bridgeville,PA,15017,Collier,Chain Restaurant without Liquor,
Dunkin Donuts #354675,145,McMurray  Road,Pittsburgh,PA,15241,Upper St Clair,Chain Restaurant without Liquor,
Dunkin Donuts / Squirrel Hill,5889,Forbes Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor,
Dunkin&#39; Donuts #348529,2961,W Liberty  Avenue,Pittsburgh,PA,15216,Dormont,Chain Restaurant without Liquor,
Dunkin&#39; Donuts / Baskin-Robbins,1121,Lincoln  Highway,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor,
Duolingo Employee Cafeteria ,5900,Penn Ave,Pittsburgh,PA,15206,Pittsburgh-108,Restaurant without Liquor,
Duquesne Club,325,6th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Duquesne Club Fitness Center,339,6th Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Duquesne Education Ctr Elementary Jr &amp; Sr Kitchen,300,Kennedy Ave,Duquesne,PA,15110,Duquesne,Satellite Kitchen,
Duquesne Maennerchor,1700,Greenleaf St,Pittsburgh,PA,15211,Pittsburgh-119,Social Club-Bar Only,
Duquesne Orchard Park Head Start,1001,Ridge Street,Duquesne,PA,15110,Duquesne,Child Food Service,
Duquesne Place Early Head Start,2100,Duquesne Place,Duquesne,PA,15110,Duquesne,Child Food Service,
Duquesne Save A Lot,9,Duquesne Plaza,Duquesne,PA,15110,Duquesne,Chain Supermarket,
Duquesne Veteran&#39;s Association,215,2nd  Street,Duquesne,PA,15110,Duquesne,Restaurant with Liquor,
Duran&#39;s Restaurant &amp; Lounge,12,E Main St,Carnegie,PA,15106,Carnegie,Restaurant with Liquor,
Dylamato&#39;s Market,5414,2nd  Avenue,Pittsburgh,PA,15207,Pittsburgh-115,Packaged Food Only,
Dynamite Day Care,321,6th Avenue,Tarentum,PA,15084,Tarentum,Child Food Service,
E Squared,5904,Bryant Street,Pittsburgh,PA,15206,Pittsburgh-111,Restaurant without Liquor,
E-Town Pizza,118,2nd St,Elizabeth,PA,15037,Elizabeth Borough,Restaurant without Liquor,
E-Towne Bar &amp; Grille,304,Butler Street,Pittsburgh,PA,15223,Etna,Restaurant with Liquor,
EBA Club,721,White Street,Mc Keesport,PA,15132,McKeesport,Restaurant with Liquor,
EBAC Concession Stand,&nbsp;,Sullivan  Way,Pittsburgh,PA,15223,Etna,Community Service Facility/Exempt,
EKH,344,Sheridan Avenue,Pittsburgh,PA,15206,Pittsburgh-111,Retail/Convenience Store,
EZ Energy #305 / 7 Eleven #36185H,2269,Noblestown Road,Pittsburgh,PA,15205,Pittsburgh-128,Chain Retail/Convenience Store,
EZ Energy #307 / 7 Eleven #36187H,4630,Wm Flynn Highway,Allison Park,PA,15101,Hampton,Chain Retail/Convenience Store,
EZ Energy #308 / 7 Eleven #36188H,4775,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store,
EZ Energy #309 / 7 Eleven Store #36189H,6250,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Retail/Convenience Store,
EZ Energy #311 / 7 Eleven #36191H,8136,Ohio River Boulevard,Pittsburgh,PA,15202,Emsworth,Chain Retail/Convenience Store,
EZ Energy #312 / 7 Eleven Store #36192H,650,Clairton Boulevard,Pittsburgh,PA,15236,Pleasant Hills,Chain Retail/Convenience Store,
EZ Energy #315 / 7 Eleven #36195H,2,Heckle Road,Mc Kees Rocks,PA,15136,Kennedy,Chain Retail/Convenience Store,
EZ Energy #354 / 7 Eleven #36199H,1102,Perry Highway,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store,
EZ Energy #361 / 7 Eleven #36205H,6106,Saltsburg Road,Verona,PA,15147,Penn Hills,Chain Retail/Convenience Store,
Eadie&#39;s Kitchen,500,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor,
Eadie&#39;s Market,500,Grant Street,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor,
Early Years Child Development Ctr,4943,Wm Flynn Hwy,Gibsonia,PA,15044,Hampton,Child Food Service,
Ease Modern Comfort Cuisine,1100,South Braddock Avenue,Pittsburgh,PA,15218,Swissvale,Restaurant with Liquor,
East Allegheny Jr / Sr High Cafeteria,1150,Jacks Run Rd,North Versailles,PA,15137,North Versailles,Full Service Kitchen,
East Allegheny Logan Elementary School Cafeteria,1150,Jacks Run Road,North Versailles,PA,15137,North Versailles,Full Service Kitchen,
East Catholic School,2001,Ardmore Boulevard,Pittsburgh,PA,15221,Forest Hills,Full Service Kitchen,
East End Brewing Company,6580,Frankstown  Avenue,Pittsburgh,PA,15206,Pittsburgh-112,Restaurant with Liquor,
East End Brewing Taproom ,108,19th Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
East End Coop Ministry Community House Caf&#233;,6140,Station Street,Pittsburgh,PA,15206,Pittsburgh-111,Adult Food Service,
East End Coop Ministry Food Bank,6140,Station Street,Pittsburgh,PA,15206,Pittsburgh-111,Community Service Facility/Exempt,
East End Food Co-Op,7516,Meade St,Pittsburgh,PA,15208,Pittsburgh-114,Supermarket,
East End Negro Veterans&#39; Association,2132,Forbes  Avenue,Pittsburgh,PA,15219,Pittsburgh-104,Social Club-Bar Only,
East Hills Family Support Center,2320,Hills Drive,Pittsburgh,PA,15221,Pittsburgh-113,Church Kitchen,
East Liberty Presbyterian Church,116,S Highland Ave,Pittsburgh,PA,15206,Pittsburgh-108,Adult Food Service,
East Park News,406,E Ohio St,Pittsburgh,PA,15212,Pittsburgh-123,Retail/Convenience Store,
Easter Seals Adult Day Services,370,Guys Run Road,Cheswick,PA,15024,Indiana,Adult Food Service,
Easter Seals Adult Day Services,1323,Forbes Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Adult Food Service,
Eastern Area Turtle Creek Ctr,519,Penn Ave,Turtle Creek,PA,15145,Turtle Creek,Adult Food Service,
Eastminster Child Care Center,250,N Highland Ave,Pittsburgh,PA,15206,Pittsburgh-111,Child Food Service,
Easy Street,301,Grant St / Oxford Centre R-1,Pittsburgh,PA,15219,Pittsburgh-101,Restaurant with Liquor,
Eat&#39;n Park #1,245,E Waterfront Dr,Homestead,PA,15120,Homestead,Chain Restaurant without Liquor,
Eat&#39;n Park #11,1816,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,Chain Restaurant without Liquor,
Eat&#39;n Park #12,1197,Washington Pike,Bridgeville,PA,15017,Collier,Chain Restaurant without Liquor,
Eat&#39;n Park #13,7671,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Eat&#39;n Park #2,1002,Ohio River Blvd,Pittsburgh,PA,15202,Avalon,Chain Restaurant without Liquor,
Eat&#39;n Park #21,2650,Brandt School Road,Wexford,PA,15090,Franklin Park,Chain Restaurant without Liquor,
Eat&#39;n Park #23,930,Butler Street,Glenshaw,PA,15116,Shaler,Chain Restaurant without Liquor,
Eat&#39;n Park #24,1626,Broadview Boulevard,Natrona Heights,PA,15065,Harrison,Chain Restaurant without Liquor,
Eat&#39;n Park #28,201,Ohio River Blvd,Sewickley,PA,15143,Edgeworth,Chain Restaurant without Liquor,
Eat&#39;n Park #3,7370,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor,
Eat&#39;n Park #30,11746,Frankstown Rd,Pittsburgh,PA,15235,Penn Hills,Chain Restaurant without Liquor,
Eat&#39;n Park #33,301,Chartiers Avenue,Mc Kees Rocks,PA,15136,McKees Rocks,Chain Restaurant without Liquor,
Eat&#39;n Park #35,301,South Hills Village,Pittsburgh,PA,15241,Bethel Park,Chain Restaurant without Liquor,
Eat&#39;n Park #39,3987,Monroeville Blvd,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor,
Eat&#39;n Park #4,2874,W Liberty  Avenue,Pittsburgh,PA,15216,Dormont,Chain Restaurant without Liquor,
Eat&#39;n Park #40,3005,Pittsburgh Mills Boulevard,Tarentum,PA,15084,Frazer,Chain Restaurant without Liquor,
Eat&#39;n Park #42,5143,Wm Flynn Hwy,Gibsonia,PA,15044,Hampton,Chain Restaurant without Liquor,
Eat&#39;n Park #44,100,Park Manor Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant without Liquor,
Eat&#39;n Park #48,19085,Perry Hwy,Mars,PA,16046,Marshall,Chain Restaurant without Liquor,
Eat&#39;n Park #53,1605,S Braddock Ave,Pittsburgh,PA,15218,Edgewood,Chain Restaurant without Liquor,
Eat&#39;n Park #7,805,Lysle Blvd,Mc Keesport,PA,15132,McKeesport,Chain Restaurant without Liquor,
Eat&#39;n Park #9,5100,Clairton Blvd,Pittsburgh,PA,15236,Whitehall,Chain Restaurant without Liquor,
Eat&#39;n Park Airport #41,9516,University Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor,
Eat&#39;n Park Banksville #14,1250,Banksville Road,Pittsburgh,PA,15216,Pittsburgh-120,Chain Restaurant without Liquor,
Eat&#39;n Park Cookie Factory,410,Vista Park Drive,Pittsburgh,PA,15205,Robinson,Food Processor,
Eat&#39;n Park Distribution Center,410,Vista Park Drive,Pittsburgh,PA,15205,Robinson,Warehouse,
Eat&#39;n Park Restaurant #18,5220,Library Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor,
Eat&#39;n Park Restaurant #87,849,Freeport  Road,Pittsburgh,PA,15238,Pittsburgh-112,Chain Restaurant without Liquor,
Eat&#39;n Park Restaurants #80,516,Lincoln Hwy,North Versailles,PA,15137,North Versailles,Chain Restaurant without Liquor,
Eaton Cutler Hammer Pittsburgh Headquarters,1000,Cherrington  Parkway,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
Eatunique,305,Craig  Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor,
Eco Bistro @ Nova Place,100,South Commons / Allegheny Center Mall #135,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor,
Eco Bistro Express @ Nova Place,100 ,South Commons / Allegheny Center Mall #118,Pittsburgh,PA,15212,Pittsburgh-122,Retail/Convenience Store,
Eddie Merlots,444,Liberty Avenue,Pittsburgh,PA,15222,Pittsburgh-101,Restaurant with Liquor,
Eddie&#39;s Italian Ice #1,1617,Sedgwick St,Pittsburgh,PA,15233,Pittsburgh-121,Mobile,
Eddie&#39;s Italian Ice #2,1617,Sedgwick St,Pittsburgh,PA,15233,Pittsburgh-121,Mobile,
Eddie&#39;s Pizza Haus,1744,Chislett St,Pittsburgh,PA,15206,Pittsburgh-110,Restaurant without Liquor,
Eddie&#39;s Restaurant &amp; Lounge,509,Wall Ave,Wilmerding,PA,15148,Wall,Restaurant with Liquor,
Eddies Italian Ice Commissary,1617,Sedgwick St,Pittsburgh,PA,15233,Pittsburgh-121,Commissary,
Eden,735,Copeland  Avenue,Pittsburgh,PA,15232,Pittsburgh-107,Restaurant without Liquor,
Eden Hall Campus Lodge,6035,Ridge Road,Gibsonia,PA,15044,Richland,Restaurant without Liquor,
Eden Park Roller Rink,428,Eden Park Blvd,Mc Keesport,PA,15132,McKeesport,Restaurant without Liquor,
Eden&#39;s Market,99,Alfred St,Pittsburgh,PA,15228,Mt Lebanon,Retail/Convenience Store,
Edgar&#39;s Best Tacos,2627,Penn Ave,Pittsburgh,PA,15222,Pittsburgh-102,Mobile,
Edgewood Avenue Express,253,Edgewood Ave,Pittsburgh,PA,15218,Edgewood,Retail/Convenience Store,
Edgewood Country Club Pool Snack Shop,100,Churchill Road,Pittsburgh,PA,15235,Churchill,Pool Snack Bar/With Liquor,
Edgewood Country Club Restaurant,100,Churchill Rd,Pittsburgh,PA,15235,Churchill,Restaurant with Liquor,
Edgewood Primary School Cafeteria,241,Maple Ave,Pittsburgh,PA,15218,Edgewood,Satellite Kitchen,
Edgeworth Swim Club Restaurant,511,East Dr,Sewickley,PA,15143,Edgeworth,Restaurant with Liquor,
Edible Arrangements,3050,McIntyre Sq Drive,Pittsburgh,PA,15237,Ross,Chain Retail/Convenience Store,
Edible Arrangements ,6506,Steubenville Pike,Pittsburgh,PA,15205,Robinson,Chain Retail/Convenience Store,
Edible Arrangements ,250,Mt Lebanon Boulevard,Pittsburgh,PA,15234,Castle Shannon,Chain Retail/Convenience Store,
Edible Arrangements #1208,6401,Penn  Avenue,Pittsburgh,PA,15206,Pittsburgh-112,Chain Retail/Convenience Store,
Edna&#39;s Market &amp; Deli @ Northview Heights,529,Mt Pleasant Road,Pittsburgh,PA,15214,Pittsburgh-126,Chain Retail/Convenience Store,
Edward Marc Brands ,55,38th Street,Pittsburgh,PA,15201,Pittsburgh-106,Food Processor,
Edward&#39;s Ice Cream,518,Bairdford Road,Bairdford,PA,15006,West Deer,Restaurant without Liquor,
Egghead&#39;s Saloon,1162,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant with Liquor,
Eggs N&#39;at,8556,University Blvd,Coraopolis,PA,15108,Moon,Restaurant without Liquor,
Eggs-R-Us,2350,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant without Liquor,
Eiben Services,2929,Churchview Ave,Pittsburgh,PA,15227,Baldwin Boro,Retail/Convenience Store,
Eichner&#39;s Farm,285,Richard Rd,Wexford,PA,15090,McCandless,Food Processor,
Eide&#39;s Entertainment ,1121,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Packaged Food Only,
Eighteen The Cafe at Pinskers ,2028,Murray  Avenue,Pittsburgh,PA,15217,Pittsburgh-114,Restaurant with Liquor,
Eighty Acres Kitchen &amp; Bar,1910,New Texas  Road,Pittsburgh,PA,15239,Plum,Restaurant with Liquor,
Einstein Bros Bagels #4054,979,Greentree Road,Pittsburgh,PA,15220,Greentree,Chain Restaurant without Liquor,
Einstein Bros Bagels #4055,4910,Baum  Blvd,Pittsburgh,PA,15213,Pittsburgh-108,Chain Restaurant without Liquor,
Einstein Bros Bagels #4057,410,Market St / 3 PPG Place,Pittsburgh,PA,15222,Pittsburgh-101,Chain Restaurant without Liquor,
Einstein Bros Bagels @ Koppers,436,7th Avenue,Pittsburgh,PA,15219,Pittsburgh-102,Chain Restaurant without Liquor,
Eisenhower Elementary School,100,Warwick Dr,Pittsburgh,PA,15241,Upper St Clair,Full Service Kitchen,
Eisenstat Candy Co,112,St Joseph St,Pittsburgh,PA,15210,Mt Oliver,Warehouse,
El Burro Comedor,1108,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Restaurant without Liquor,
El Burro Dos,1113,Braddock Avenue,Pittsburgh,PA,15218,Edgewood,Chain Restaurant without Liquor,
El Campesino,4097,Wm Penn  Highway,Monroeville,PA,15146,Monroeville,Restaurant with Liquor,
El Campesino Restaurante Mexicano,460,Home Drive,Pittsburgh,PA,15275,North Fayette,Chain Restaurant with Liquor,
El Campesino Restaurante Mexicano,4771,McKnight Rd,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor,
El Gusto Criollo International ,250,Pacific Avenue,Pittsburgh,PA,15224,Pittsburgh-108,Transient Caterer,
El Milagro,1542,Beechview Ave,Pittsburgh,PA,15216,Pittsburgh-119,Restaurant without Liquor,
El Paso Mexican Grill,1155,Washington Pike #61,Bridgeville,PA,15017,Collier,Restaurant with Liquor,
Elegant Accent Catering,1620,Painters Run Rd,Pittsburgh,PA,15243,Upper St Clair,Caterer,
Elegant Edge Catering Company,4315,Murray Avenue,Pittsburgh,PA,15217,Pittsburgh-115,Transient Caterer,
Elements Cafe,6425,Penn Avenue,Pittsburgh,PA,15206,Pittsburgh-112,Chain Restaurant without Liquor,
Eleven,1150,Smallman Street,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Eleventh Ward Welfare Assn,3611,Walnut St,Mc Keesport,PA,15132,McKeesport,Social Club-Bar Only,
Elfinwild Home Meals to You,3200,Mount Royal  Boulevard,Glenshaw,PA,15116,Shaler,Adult Food Service,
Elfinwild Presbyterian Church,3200,Mt Royal Blvd,Glenshaw,PA,15116,Shaler,Church Kitchen,
Elite Treats &amp; Specialty Feasts,134,Elizabeth  Street,Pittsburgh,PA,15207,Pittsburgh-115,Transient Caterer,
Elizabeth BP,141,McKeesport Road,Elizabeth,PA,15037,Elizabeth Borough,Chain Retail/Convenience Store,
Elizabeth Ex-Servicemen&#39;s Assn,5512,W Smithfield St,Mc Keesport,PA,15135,Elizabeth Township,Social Club-Bar Only,
Elizabeth Forward Jr High School Cafeteria,401,Rock Run Rd,Elizabeth,PA,15037,Elizabeth Township,Full Service Kitchen,
Elizabeth Forward Sr High School Cafeteria,1000,Weigles Hill Rd,Elizabeth,PA,15037,Elizabeth Township,Full Service Kitchen,
Elizabeth Pharmacy,5041,2nd  Ave,Pittsburgh,PA,15207,Pittsburgh-115,Packaged Food Only,
Elizabeth Township Community Center,429,Duncan Station  Road,Mc Keesport,PA,15135,Elizabeth Township,Banquet Hall,
Elizabeth United Methodist Church,317,2nd  Avenue,Elizabeth,PA,15037,Elizabeth Borough,Church Kitchen,
Elizabeth United Methodist Early Learning Center,317,2nd St / Suite C,Elizabeth,PA,15037,Elizabeth Borough,Child Food Service,
Elizabeth VFD Social Hall,101,1st  St,Elizabeth,PA,15037,Elizabeth Borough,Firehall without Liquor,
Elizabeths Fireman Assn,107,Market St,Elizabeth,PA,15037,Elizabeth Borough,Social Club-Bar Only,
Ellie&#39;s Hawaiian Shave Ice,4609,Marina Drive,Homestead,PA,15120,Munhall,Mobile,
