Allegheny HYP Club,619,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant with Liquor,
Alpine Hunting &amp; Fishing Club,220,Alpine Road,Bridgeville,PA,15017,South Fayette,Restaurant with Liquor,
Altius,1230,Grandview Ave,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor,
Amel&#39;s Restaurant &amp; Lounge,435,McNeilly Rd,Pittsburgh,PA,15226,Baldwin Twp,Restaurant with Liquor,
American Croation Club of Duquesne,1111,W Grant Ave,Duquesne,PA,15110,Duquesne,Restaurant with Liquor,
American Legion #527,103,W Braddock Ave,Braddock,PA,15104,Rankin,Restaurant with Liquor,
American Legion George Walter Jr Post #106,1332,N Canal St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor,
American Legion Home Assn #820,4339,Old Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant with Liquor,
American Legion Post #48,59,Garfield Street,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor,
American Legion Post #490,1008,Castle Shannon Blvd,Pittsburgh,PA,15234,Castle Shannon,Restaurant with Liquor,
American Legion Post #600 / Oakmont,650,Isabella Street,Oakmont,PA,15139,Oakmont,Restaurant with Liquor,
American Legion Post #712,650,Old Clairton Rd,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor,
American Legion Post #75,660,Miller Ave,Clairton,PA,15025,Clairton,Restaurant with Liquor,
American Legion Post #935,280,Joseph St,Pittsburgh,PA,15227,Baldwin Boro,Restaurant with Liquor,
American Legion Post #980,7824,Saltsburg Rd,Pittsburgh,PA,15239,Plum,Restaurant with Liquor,
American Legion Post / Manchester,172,6th Ave,Pittsburgh,PA,15229,Ross,Restaurant with Liquor,
American Slovenian Citizens - ACME Club,230,Herron Avenue,Cheswick,PA,15024,Harmar,Restaurant with Liquor,
Anchor Inn,2202,Freeport Road,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor,
Andora Fox Chapel,599,Dorseyville Road,Pittsburgh,PA,15238,Indiana,Chain Restaurant with Liquor,
Andora Restaurant Sewickley,1616,Mt Nebo  Road,Sewickley,PA,15143,Ohio,Chain Restaurant with Liquor,
Angelia&#39;s Grille,1817,McKees Rocks Rd,Mc Kees Rocks,PA,15136,Kennedy,Restaurant with Liquor,
Ann&#39;s Restaurant &amp; Lounge,2783,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor,
Annie&#39;s Hitching Post,314,Portvue Avenue,Mc Keesport,PA,15133,Portvue,Restaurant with Liquor,
Anthony Jr&#39;s Pizza &amp; Deli,1024,5th,Coraopolis,PA,15108,Coraopolis,Restaurant with Liquor,
Anthony&#39;s Coal Fired Pizza,1810,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Anthony&#39;s Coal Fired Pizza,2740,Stroschein Road,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor,
Appian Way Cafe &amp; Lounge,418,Moon Clinton Rd,Coraopolis,PA,15108,Moon,Restaurant with Liquor,
Apple Inn,2895,W Liberty  Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2010013,1050,Village Center Drive,Tarentum,PA,15084,Frazer,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2010018,525,Grandview Crossing  Drive,Gibsonia,PA,15044,Richland,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020011,2101,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020012,4801,McKnight  Road,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020013,1601,S Braddock Ave,Pittsburgh,PA,15218,Edgewood,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020014,2045,Lebanon Church  Road,West Mifflin,PA,15122,West Mifflin,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020017,3440,Wm Penn  Highway,Pittsburgh,PA,15235,Wilkins,Chain Restaurant with Liquor,
Applebee&#39;s Neighborhood Grill &amp; Bar #2020021,6570,Steubenville Pike,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor,
Apteka ,4606,Penn  Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant with Liquor,
Archie&#39;s,2328,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor,
Argonne Inn,1257,Argonne Drive,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor,
Armand&#39;s Bar,4755,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor,
Armstrong&#39;s Restaurant,5301,Grove (at Baptist / Caste Village) Road,Pittsburgh,PA,15236,Whitehall,Chain Restaurant with Liquor,
Around The Corner Bar &amp; Grill,1707,Babcock Blvd,Pittsburgh,PA,15209,Shaler,Restaurant with Liquor,
Arriba Wine Bar @ Engine House 25,3337,Penn Avenue,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant with Liquor,
Art&#39;s Tavern,2852,Penn Ave,Pittsburgh,PA,15222,Pittsburgh-106,Restaurant with Liquor,
Atria&#39;s,10,Old Clairton Road,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor,
Atria&#39;s,12980,Perry Hwy,Wexford,PA,15090,Pine,Chain Restaurant with Liquor,
Atria&#39;s Restaurant &amp; Tavern,5517,Wm Flynn Hwy,Gibsonia,PA,15044,Richland,Chain Restaurant with Liquor,
Atria&#39;s Restaurant &amp; Tavern,103,Federal Street,Pittsburgh,PA,15212,Pittsburgh-122,Chain Restaurant with Liquor,
Atria&#39;s Restaurant &amp; Tavern,110,Beverly Rd,Pittsburgh,PA,15216,Mt Lebanon,Chain Restaurant with Liquor,
August Henry&#39;s City Saloon,946,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant with Liquor,
Aviva Brick Oven Pizzeria,16099,Perry  Highway,Warrendale,PA,15086,Marshall,Restaurant with Liquor,
Azul Bar - Y - Cantina,122,Broad St,Leetsdale,PA,15056,Leetsdale,Restaurant with Liquor,
B P O E / Allegheny Elks Club #339,400,Cedar Ave,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor,
B P O E / Elks #1090,1150,Stoops Ferry Rd,Coraopolis,PA,15108,Moon,Restaurant with Liquor,
B P O E / Elks Club #2213 ,2425,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor,
