,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1301 Pittsburgh St, Cheswick, PA 15024, USA\,40.5414317,-79.802147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\507 Foreland St, Pittsburgh, PA 15212, USA\,40.454191,-80.000442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\99 Schuetzen Park Rd, Pittsburgh, PA 15209, USA\,40.499194,-79.992196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\220 Alpine Rd, Bridgeville, PA 15017, USA\,40.3362822,-80.1417962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1230 Grandview Ave, Pittsburgh, PA 15211, USA\,40.4384823,-80.0192858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\435 McNeilly Rd, Pittsburgh, PA 15226, USA\,40.3830692,-80.0155838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1111 Grant Ave, Duquesne, PA 15110, USA\,40.3695949,-79.856623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\103 W Braddock Ave, Braddock, PA 15104, USA\,40.407601,-79.876902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1332 N Canal St, Pittsburgh, PA 15215, USA\,40.496275,-79.927998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\59 Garfield St, Natrona Heights, PA 15065, USA\,40.6136659,-79.7234555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1008 Castle Shannon Blvd, Pittsburgh, PA 15234, USA\,40.365335,-80.0246109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\650 Isabella St, Oakmont, PA 15139, USA\,40.5202193,-79.8411196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\650 Old Clairton Rd, Pittsburgh, PA 15236, USA\,40.32447,-79.957884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\660 Miller Ave, Clairton, PA 15025, USA\,40.29073,-79.8836819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\280 Joseph St, Pittsburgh, PA 15227, USA\,40.394448,-79.969605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\7824 Saltsburg Rd, Pittsburgh, PA 15239, USA\,40.474713,-79.765962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\172 6th Ave, Pittsburgh, PA 15229, USA\,40.5269531,-80.0221549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\230 Herron Ave, Cheswick, PA 15024, USA\,40.5442364,-79.8151802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2202 Freeport Rd, Natrona Heights, PA 15065, USA\,40.6282736,-79.7193536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\599 Dorseyville Rd, Pittsburgh, PA 15238, USA\,40.5377057,-79.9114627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
