Name	Address	Lat	Long
Ann&#39;s Restaurant &amp; Lounge	2783 South Park Road Bethel Park, PA 15102	40.3276615	-80.0346682
Annie&#39;s Hitching Post	314 Portvue Avenue Mc Keesport, PA 15133		
Anthony Jr&#39;s Pizza &amp; Deli	1024 5th Coraopolis, PA 15108		
Anthony&#39;s Coal Fired Pizza	1810 Settlers Ridge Center Drive Pittsburgh, PA 15205		
Anthony&#39;s Coal Fired Pizza	2740 Stroschein Road Monroeville, PA 15146	40.4379308	-79.7689553
Appian Way Cafe &amp; Lounge	418 Moon Clinton Rd Coraopolis, PA 15108	40.5094678	-80.2394506
Apple Inn	2895 W Liberty  Avenue Pittsburgh, PA 15216	40.3948467	-80.0342585
Applebee&#39;s Neighborhood Grill &amp; Bar #2010013	1050 Village Center Drive Tarentum, PA 15084	40.5671888	-79.8027979
Applebee&#39;s Neighborhood Grill &amp; Bar #2010018	525 Grandview Crossing  Drive Gibsonia, PA 15044		
Applebee&#39;s Neighborhood Grill &amp; Bar #2020011	2101 Greentree Road Pittsburgh, PA 15220	40.3905672	-80.0724608
Applebee&#39;s Neighborhood Grill &amp; Bar #2020012	4801 McKnight  Road Pittsburgh, PA 15237	40.522828	-80.006531
Applebee&#39;s Neighborhood Grill &amp; Bar #2020013	1601 S Braddock Ave Pittsburgh, PA 15218	40.4263385	-79.8889429
Applebee&#39;s Neighborhood Grill &amp; Bar #2020014	2045 Lebanon Church  Road West Mifflin, PA 15122	40.3486124	-79.9481085
Applebee&#39;s Neighborhood Grill &amp; Bar #2020017	3440 Wm Penn  Highway Pittsburgh, PA 15235		
Applebee&#39;s Neighborhood Grill &amp; Bar #2020021	6570 Steubenville Pike Pittsburgh, PA 15205	40.4483419	-80.1572174
Apteka 	4606 Penn  Avenue Pittsburgh, PA 15224	40.4656355	-79.9493238
Archie&#39;s	2328 E Carson St Pittsburgh, PA 15203	40.4280178	-79.9718039
Argonne Inn	1257 Argonne Drive Natrona Heights, PA 15065	40.610179	-79.732684
Armand&#39;s Bar	4755 Liberty Ave Pittsburgh, PA 15224	40.4614563	-79.9481743
Armstrong&#39;s Restaurant	5301 Grove (at Baptist / Caste Village) Road Pittsburgh, PA 15236		
Around The Corner Bar &amp; Grill	1707 Babcock Blvd Pittsburgh, PA 15209	40.5005313	-79.9810772
Arriba Wine Bar @ Engine House 25	3337 Penn Avenue Pittsburgh, PA 15201	40.4624	-79.9678787
Art&#39;s Tavern	2852 Penn Ave Pittsburgh, PA 15222	40.4576367	-79.9741413
Atria&#39;s	10 Old Clairton Road Pittsburgh, PA 15236	40.3398124	-79.9654559
Atria&#39;s	12980 Perry Hwy Wexford, PA 15090	40.6426194	-80.0670089
Atria&#39;s Restaurant &amp; Tavern	5517 Wm Flynn Hwy Gibsonia, PA 15044		
Atria&#39;s Restaurant &amp; Tavern	103 Federal Street Pittsburgh, PA 15212	40.4480683	-80.00424
Atria&#39;s Restaurant &amp; Tavern	110 Beverly Rd Pittsburgh, PA 15216	40.3936983	-80.0467393
August Henry&#39;s City Saloon	946 Penn Avenue Pittsburgh, PA 15222	40.4440164	-79.9962956
Azul Bar - Y - Cantina	122 Broad St Leetsdale, PA 15056	40.566402	-80.2105005
B P O E / Allegheny Elks Club #339	400 Cedar Ave Pittsburgh, PA 15212	40.4518258	-80.0007752
B P O E / Elks #1090	1150 Stoops Ferry Rd Coraopolis, PA 15108		
B P O E / Elks Club #2213 	2425 South Park Road Bethel Park, PA 15102	40.3293168	-80.0231213
B P O E / Elks Club Oakmont #1668	106 Washington Avenue Oakmont, PA 15139	40.5162084	-79.8474269
B P O E / Elks Club Wilkinsburg #577	718 Brown Ave Turtle Creek, PA 15145	40.4276863	-79.8365234
BD&#39;s Mongolian Grill	428 27th Street Pittsburgh, PA 15203	40.4282789	-79.9657314
BJ&quot;s Restaurant &amp; Brew House #590	1819 Washington Rd Pittsburgh, PA 15241	40.3450122	-80.0554318
BJ&#39;s Restaurant &amp; Brewhouse	8970 Covenant Avenue Pittsburgh, PA 15237	40.5701307	-80.0230829
BRGR	1500 Washington  Road Pittsburgh, PA 15228	40.3569591	-80.0518073
Bado&#39;s Pizza &amp; Deli	307 Beverly Rd Pittsburgh, PA 15216	40.388623	-80.0498751
Bahama Breeze #3041	6100 Robinson Center  Drive Pittsburgh, PA 15205		
Bakersfield 	940 Penn  Avenue Pittsburgh, PA 15222	40.4439437	-79.9965813
Bakn	335 Main Street Carnegie, PA 15106	40.409746	-80.083623
Baldwin Backdraft	3049 Churchview Ave Pittsburgh, PA 15227	40.3861425	-79.9676463
Baltimore Crab House	176 Curry Hollow Rd Pittsburgh, PA 15236	40.3384939	-79.9688663
Balwem Connolly Club	48 Greenway Drive Pittsburgh, PA 15204	40.450527	-80.052318
Bangkok Balcony	5846 Forbes Ave / 2nd Fl Pittsburgh, PA 15217		
Bar 11	1101 Bradish Street Pittsburgh, PA 15203	40.4271724	-79.9874543
Bar 48  Bar &amp; Grille	101 Simpson Howell Road Elizabeth, PA 15037	40.2726927	-79.8372154
